DataSet,NodeCount,GoalCount,GraphDensity,UserModel(lambda),Distance,ProbSelectUnknown,ProbReturnFirst,ProbSelectVisibleGoal,OperationCount
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,13
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,1
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,3
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,8
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,10
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,1
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,1
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,4
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,2
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,6
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,5
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,23
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,2
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,3
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,2
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,2
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,8
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,6
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,1
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,1
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,5
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,3
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,1
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,6
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,1
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,4
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,1
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,4
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,4
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,6
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,2
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,4
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,3
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,6
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,8
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,3
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,1
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,4
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,10
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,4
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,3
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,1
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,1
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,2
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,4
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,2
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,2
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,4
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,2
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,1
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,1
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,1
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,3
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,5
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,3
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,3
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,3
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,5
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,1
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,2
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,1
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,1
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,1
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,2
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,2
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,1
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,1
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,0
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,4
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,1
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,1
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,1
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,5
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,5
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,9
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,0
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,1
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,8
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,4
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,1
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,1
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,2
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,1
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,3
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,1
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,13
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,2
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,6
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,6
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,1
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,1
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,1
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,1
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,2
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,1
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,4
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,9
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,4
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,6
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,2
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,0
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,1
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,0
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,1
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,1
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,6
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,2
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,4
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,2
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,4
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,4
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,5
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,7
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,0
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,1
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,9
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,6
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,1
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,3
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,2
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,1
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,13
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,5
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,1
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,1
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,2
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,4
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,1
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,1
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,2
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,4
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,6
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,1
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,1
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,5
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,1
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,2
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,3
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,4
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,2
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,3
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,5
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,3
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,1
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,6
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,1
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,11
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,3
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,1
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,4
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,1
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,1
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,1
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,1
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,2
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,3
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,7
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,1
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,1
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,8
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,5
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,2
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,1
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,3
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,1
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,4
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,1
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,0
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,10
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,0
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,2
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,2
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,3
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,3
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,4
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,1
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,4
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,2
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,2
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,4
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,1
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,10
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,5
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,1
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,1
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,1
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,12
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,1
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,2
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,4
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,6
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,3
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,1
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,12
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,1
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,1
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,0
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,4
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,2
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,5
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,4
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,11
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,3
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,5
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,1
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,11
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,5
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,2
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,2
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,3
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,3
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,2
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,2
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,23
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,8
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,4
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,1
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,4
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,4
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,17
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,2
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,7
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,13
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,2
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,6
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,2
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,3
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,1
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,1
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,2
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,5
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,2
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,7
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,2
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,10
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,1
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,5
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,9
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,1
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,2
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,4
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,7
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,11
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,2
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,2
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,8
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,1
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,7
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,1
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,2
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,1
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,2
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,1
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,4
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,5
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,1
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,13
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,6
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,3
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,1
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,4
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,3
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,1
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,11
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,4
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,1
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,2
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,1
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,3
BarabasiAlbert,200,5,0.05925,-2.6,0,0.8,0,0.5,2
